calendar_start_date,iso_year,iso_week,dengue_total,tmin,tmax,rh
2018-10-28,2018,43,4.0,25.427142824445447,31.48714256286621,68.2528571428571
2018-11-04,2018,44,13.0,25.545714242117743,30.98428562709264,70.2328571428571
2018-11-11,2018,45,8.0,25.580000196184432,30.48000008719308,71.2014285714286
2018-11-18,2018,46,11.0,25.524285725184846,31.10857146126883,70.4114285714286
2018-11-25,2018,47,4.0,25.474285670689174,31.35571425301688,71.1542857142857
2018-12-02,2018,48,14.0,25.858571188790457,30.71857125418527,73.8257142857143
2018-12-09,2018,49,13.0,24.66285732814244,29.18571417672294,83.4014285714286
2018-12-16,2018,50,14.0,24.647142682756694,28.93428584507533,80.5714285714286
2018-12-23,2018,51,17.0,24.937143053327286,29.31571415492467,78.8914285714286
2018-12-30,2018,52,33.0,24.57285690307617,28.78857122148786,79.3014285714286
2019-01-06,2019,1,17.0,25.636250019073486,29.96124982833862,77.365
2019-01-13,2019,2,31.0,24.674285616193497,28.92571422031947,80.1714285714286
2019-01-20,2019,3,23.0,24.19285692487444,28.37714304242815,85.0857142857143
2019-01-27,2019,4,30.0,24.895714351109092,28.98857143947057,81.7014285714286
2019-02-03,2019,5,33.0,24.49142892020089,29.25428553989955,82.2428571428571
2019-02-10,2019,6,28.0,24.801428386143275,28.88571439470564,84.4228571428571
2019-02-17,2019,7,30.0,24.8199999673026,29.33571434020996,83.7385714285714
2019-02-24,2019,8,36.0,24.46571431841169,28.21285711015974,86.4714285714286
2019-03-03,2019,9,73.0,24.15714291163853,28.08857154846191,86.5757142857143
2019-03-10,2019,10,102.0,23.902856826782223,27.71285738263811,87.6242857142857
2019-03-17,2019,11,92.0,24.264285768781388,28.11142866952079,87.1542857142857
2019-03-24,2019,12,152.0,24.58142852783203,28.95142882210868,85.3114285714286
2019-03-31,2019,13,199.0,24.175713947841096,28.44285719735282,87.1114285714286
2019-04-07,2019,14,172.0,24.068571363176616,28.36000006539481,87.4971428571429
2019-04-14,2019,15,106.0,24.651428767613,29.04714284624372,84.8585714285714
2019-04-21,2019,16,164.0,24.292857306344168,28.2228570665632,86.7128571428571
2019-04-28,2019,17,141.0,24.772857121058877,28.00571441650391,87.8414285714286
2019-05-05,2019,18,121.0,24.670000076293945,28.65857124328613,85.18
2019-05-12,2019,19,166.0,25.192857197352815,29.29285676138742,81.5685714285714
2019-05-19,2019,20,134.0,24.881428582327707,29.26714243207659,83.7442857142857
2019-05-26,2019,21,102.0,24.705714089529852,28.64857128688267,85.5828571428571
2019-06-02,2019,22,115.0,24.945714133126398,28.82428577968053,83.2642857142857
2019-06-09,2019,23,106.0,25.08142852783203,29.96142877851214,75.9342857142857
2019-06-16,2019,24,122.0,24.772857121058877,28.74428585597447,79.4471428571429
2019-06-23,2019,25,101.0,24.03857149396624,28.82428577968053,77.24
2019-06-30,2019,26,117.0,24.23142841884068,29.38428579057966,74.3685714285714
2019-07-07,2019,27,129.0,24.317142759050643,28.74571418762207,77.9142857142857
2019-07-14,2019,28,99.0,24.25714302062988,28.88571412222726,76.6114285714286
2019-07-21,2019,29,100.0,24.32999992370605,29.6242858341762,73.64
2019-07-28,2019,30,113.0,24.06000001089913,29.62285695757185,71.1628571428571
2019-08-04,2019,31,90.0,24.544285910470144,30.42142868041992,69.8114285714286
2019-08-11,2019,32,68.0,24.008571624755856,29.9000004359654,67.2228571428571
2019-08-18,2019,33,67.0,24.417142868041992,30.80999973842076,67.2428571428571
2019-08-25,2019,34,74.0,24.22857121058873,30.97142846243722,66.8757142857143
2019-09-01,2019,35,73.0,24.5285712650844,31.25714274815151,64.1057142857143
2019-09-08,2019,36,61.0,24.53000014168876,30.25285693577358,70.5057142857143
2019-09-15,2019,37,65.0,24.63714272635324,31.15285764421736,67.1071428571429
2019-09-22,2019,38,63.0,24.568571635654997,30.49428558349609,69.1771428571429
2019-09-29,2019,39,57.0,24.78142874581473,30.59285736083984,69.6785714285714
2019-10-06,2019,40,29.0,24.7000002179827,30.63571412222726,68.0028571428571
2019-10-13,2019,41,34.0,24.955714362008234,31.03285707746233,67.1485714285714
2019-10-20,2019,42,36.0,24.975714002336776,30.78857122148786,70.1671428571429
2019-10-27,2019,43,37.0,24.84142848423549,30.81571442740304,71.6742857142857
2019-11-03,2019,44,52.0,25.032857077462328,31.09285736083984,67.8442857142857
2019-11-10,2019,45,41.0,25.33571434020996,31.22571400233678,70.7342857142857
2019-11-17,2019,46,46.0,25.412857055664062,31.4714287349156,69.0571428571428
2019-11-24,2019,47,44.0,25.524285725184846,30.60714285714286,72.6485714285714
2019-12-01,2019,48,53.0,25.648571286882675,31.12714276994978,72.8528571428571
2019-12-08,2019,49,36.0,25.744285583496094,31.4771431514195,70.1128571428571
2019-12-15,2019,50,36.0,25.80428613935198,30.62571471078055,71.3571428571429
2019-12-22,2019,51,20.0,25.858571461268838,31.44999994550432,69.7614285714286
2019-12-29,2019,52,43.0,26.141428538731162,31.470000403268,69.0842857142857
2020-01-05,2020,1,72.0,24.9375,29.15000009536743,81.8825
2020-01-12,2020,2,103.0,24.858571188790457,29.25000027247838,81.58
2020-01-19,2020,3,111.0,25.197142737252367,29.45285742623465,81.9128571428571
2020-01-26,2020,4,121.0,25.665714263916012,30.12857164655413,78.2285714285714
2020-02-02,2020,5,208.0,24.719999858311244,29.11285672869001,84.7985714285714
2020-02-09,2020,6,317.0,24.730000359671457,28.82428577968053,84.3885714285714
2020-02-16,2020,7,343.0,24.895714623587477,29.00714274815151,84.3871428571428
2020-02-23,2020,8,519.0,24.522856848580492,28.86142894199916,86.42
2020-03-01,2020,9,453.0,25.075714111328125,29.52428599766322,83.7
2020-03-08,2020,10,534.0,24.73285675048828,29.19857134137835,85.7814285714286
2020-03-15,2020,11,343.0,24.718571254185267,28.93428611755371,85.9228571428571
2020-03-22,2020,12,224.0,24.59999983651297,29.20999962942941,85.2171428571429
2020-03-29,2020,13,282.0,24.89142826625279,29.59857150486537,82.4528571428571
2020-04-05,2020,14,311.0,25.24571418762207,29.11857114519392,85.8385714285714
2020-04-12,2020,15,385.0,25.59142848423549,29.64285714285714,83.8057142857143
2020-04-19,2020,16,434.0,25.0285712650844,28.82428550720215,84.4928571428571
